Link,Price,OwnershipType:,Property Type:,Bedrooms:,Bathrooms:,Half Bathrooms:,Access Type:,Amenities Nearby:,Built in:,Community Features:,Features:,Floor Space (approx):,Landscape Features:,Lot Depth:,Lot Frontage:,Zoning:,Sewer:,Parking Type:,Number_Parking_Spaces,Bathroom,Bedroom,Primary Bedroom,Recreation Room,Dining,Kitchen,Family,Living,Communication Type:,Fence Type:,Structure Type:,Utility Type:,Sun Room,Foyer,Utility,Laundry,Exercise,Pantry,Mudroom,Great Room,Pool Type:,Acres Range:,Architectural Style:,Basement:,Construction Materials:,Cooling:,Driveway Parking:,Exterior Features:,Heating:,Interior Features:,Laundry Features:,Lot Features:,Other Structures:,Parking Features:,Road Frontage Type:,Roof:,Security Features:,Utilities:,View:,Water Source:,Water Treatment:,Waterfront Features:,Irregular:,Lot Size:,2nd Bedroom,3rd Bedroom,Condo Fees:,MaintenanceFee Type:,Storage Type:,Fireplace Features:,Office,Den,Other,Workshop,Fencing:,Window Features:,Annual Tax Amount:,Drive:,Family Room:,Fronting On (NSEW):,Occupancy:,Pool:,Sewers:,Style:,Water:,Road Surface Type:,Storage,Eat-in Kitchen,Association Amenities:,Pool Features:,Dinette,Accessibility Features:,4th Bedroom,Common Elements Included:,Parking Included:,Water Included:,Approx Age:,Pets Permitted:,UFFI:,Parking/Drive:,Sitting,Games,Media Room,Surface Water:,5th Bedroom,Air Conditioning:,Survey:,Breakfast,Approx Square Footage:,Furnace,Flooring:,Loft,Docking Type:,Library,Business Type:,Acreage:,Playroom,Appliances Included:,Acreage Info:,Attachment Style:,Basement Development:,District:,Driveway:,Exterior Finish:,Foundation:,Geocode Source:,Heating Cooling:,Hot Water Tank Type:,Major Area:,Outdoor Features:,Property SubTypes:,PropertyType:,Rental Equipment:,Sewer Availability:,Showings:,Side Of Road:,SiteInfluences:,Sub District:,Tax Year:,Title:,Type Of Dwelling:,Water Availability:,Heating Fuel:,Soil Type:,Porch,Shore line:,Attic,View Type:,Area Influences:
https://www.royallepage.ca/en/property/ontario/london/40-sir-robert-place/20198543/mls40459965/,"$3,580,000",,,5,3+1,,,,1998,,,6150 Square Feet,,,115.00 Feet,UR1,Septic Approved,,18,"Other level
                
            
        
        
            
                :Lower",2nd Level4.44 X 5.74,2nd Level5.21 X 6.25,"Other level
                
            
        
        
            
                :Lower10.36 X 6.43",Main Level6.55 X 4.62,Main Level7.52 X 6.71,Main Level5.87 X 5.00,Main Level7.47 X 5.00,,,,,,Main Level10.01 X 4.22,,2nd Level3.63 X 2.84,,,,,,,Two Story,"Full, Finished, Sump Pump","Brick, Stucco",Central Air,Private Drive Single Wide,"Backs on Greenbelt, Balcony, Landscaped, Lawn Sprinkler System","Forced Air, Natural Gas","High Speed Internet, Air Exchanger, Auto Garage Door Remote(s), Sauna",,"Urban, Pie Shaped Lot, Cul-De-Sac, Near Golf Course, Greenbelt, Landscaped, Park, Place of Worship, Playground Nearby, Ravine, School Bus Route, Schools, Shopping Nearby, Trails",,"Attached Garage, Garage Door Opener, Circular, Interlock, Other",Public Road,"Asphalt Shing, Membrane","Carbon Monoxide Detector, Smoke Detector, Alarm System, Carbon Monoxide Detector(s), Smoke Detector(s)","Cable Connected, Cell Service, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Phone Connected, Underground Utilities","Pond, Trees/Woods",Municipal,,"Pond, Other",,,,,,,,"Family Room, Living Room, Gas, Roughed In, Wood Burning",,,"Other level
                
            
        
        
            
                :Lower4.95 X 4.47",,Fence - Partial,Window Coverings,,,,,,,,,,Paved,"Other level
                
            
        
        
            
                :Lower11.25 X 4.88",,,"In Ground, In Ground",,,,,,,,,,,,,,,,,,,,,,,None,Main Level6.63 X 4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1656-brayford-avenue/20194226/mls40459582/,"$1,485,000",,,5,3+1,,,,2019,,,2584 Square Feet,,126.64 Feet,48.37 Feet,R1-4,Sewer (Municipal),,6,"Other level
                
            
        
        
            
                :Lower2.57 X 2.01",2nd Level4.01 X 4.14,2nd Level5.64 X 4.42,,Main Level4.27 X 3.25,Main Level7.32 X 4.83,"Other level
                
            
        
        
            
                :Lower8.92 X 8.13",,,,,,,Main Level,"Other level
                
            
        
        
            
                :Lower",2nd Level,,,Main Level,,,< 0.5,Two Story,"Walk-Up Access, Full, Finished","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,Landscaped,"Forced Air, Natural Gas","Air Exchanger, Auto Garage Door Remote(s), Central Vacuum",Upper Level,"Urban, Landscaped, Playground Nearby, Quiet Area, School Bus Route, Shopping Nearby, Trails",,"Attached Garage, Garage Door Opener, Concrete",,Asphalt Shing,Alarm System,,,Municipal,,,,,,,,,,"Electric, Family Room",,,"Other level
                
            
        
        
            
                :LowerNote:Cold Room",,,,,,,,,,,,,,"Other level
                
            
        
        
            
                :Lower",,,"In Ground, In Ground",,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/5-2835-sheffield-place/20198533/mls40457579/,"$1,365,000",,,6,5+0,,,,,,,2591 Square Feet,,113.48 Feet,39.83 Feet,R6-2,Sewer (Municipal),,,2nd Level,2nd Level3.89 X 3.07,2nd Level5.49 X 4.11,Basement Level5.41 X 5.64,Main Level2.82 X 4.11,Main Level5.44 X 4.11,Main Level5.44 X 5.05,,,,,,,,Basement Level3.56 X 3.35,2nd Level2.46 X 1.55,,,,,,< 0.5,Two Story,"Walk-Out Access, Full, Finished, Sump Pump","Concrete, Stone, Other",Central Air,Private Drive Double Wide,Backs on Greenbelt,"Forced Air, Natural Gas","Air Exchanger, In-law Capability","Laundry Room, Upper Level","Urban, Airport, Cul-De-Sac, Dog Park, Highway Access, Hospital, Library, Major Highway, Place of Worship, Schools, Shopping Nearby",,"Attached Garage, Paver Block",Private Road,Asphalt Shing,"Carbon Monoxide Detector, Smoke Detector, Carbon Monoxide Detector(s), Smoke Detector(s)","Cable Available, Cell Service, Electricity Connected, High Speed Internet Avail, Natural Gas Connected, Street Lights, Phone Available","Hills, River, Trees/Woods",Municipal-Metered,,River/Stream,,,,,,,,"Family Room, Gas",,,Basement Level2.57 X 3.94Note:Bonus Room,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1171-sunningdale-rd-e/20191057/mlsx6693600/,"$1,350,000",Freehold,Single Family,2+2,2,,,Public Transit,,,,,,,,,,Garage,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,125 x 200 FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/3128-turner-cres/20190489/mlsx6693702/,"$949,999",,,4,4,,,,,,,,,105.61 Feet,32.84 Feet,,,,4,,,,,Main Level3.35 m x 3.35 m10.99 ft x 10.99 ftNote:Open Concept,Main Level3.66 m x 3.66 m12.01 ft x 12.01 ftNote:Open Concept,,,,,,,,Main Level3.05 m x 2.44 m10.01 ft x 8.01 ftNote:Tile Floor,,"2nd Level2.13 m x 1.96 m6.99 ft x 6.43 ftNote:Tile Floor, Laundry Sink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd Level4.27 m x 3.96 m14.01 ft x 12.99 ftNote:Ensuite Bath,2nd Level3.66 m x 3.35 m12.01 ft x 10.99 ftNote:Ensuite Bath,,,,,,,"2nd Level4.88 m x 4.27 m16.01 ft x 14.01 ftNote:Ensuite Bath, W/I Closet",,,,"$4,807",Available,Yes,W,Tenant,None,Sewers,2-Storey,Municipal,,,,,,,,2nd Level3.66 m x 3.35 m12.01 ft x 10.99 ftNote:Ensuite Bath,,,,0-5,,,,,,,,,,,,2500-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/360-northbrae-drive/20200686/mls40460360/,"$900,000",,,5,3+1,,,,,,,2134.63 Square Feet,,199 Feet,110.00 Feet,Residential,Sewer (Municipal),,8,Basement Level,2nd Level3.71 X 4.17,2nd Level5.21 X 3.61,,Main Level3.89 X 4.67,Main Level4.62 X 4.22,,Main Level5.56 X 4.22,,,,,,,,Main Level1.45 X 2.36,Basement Level4.14 X 1.60,,,,,< 0.5,2.5 Storey,"Full, Partially Finished","Brick, Stucco",Central Air,Private Drive Single Wide,,"Forced Air, Natural Gas",,In Building,"Urban, Airport, Hospital, Library, Park, Public Transit, Schools",,Detached Garage,,Asphalt Shing,,,,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement Level2.46 X 2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/712-460-callaway-road/20192917/mls40457629/,"$834,900",,,2,2+0,,,,2022,,,1560 Square Feet,,,0.00 Feet,R9-7 (27),Sewer (Municipal),,,Main Level,Main Level3.66 X 3.05,Main Level5.18 X 3.66,,Main Level5.03 X 3.43,Main Level4.19 X 2.59,,Main Level6.02 X 5.03,,,,,,,,Main Level1.96 X 1.47,,,,,,,1 Storey/Apt,,Concrete,Central Air,Visitor Parking,"Balcony, Controlled Entry, Lawn Sprinkler System","Forced Air, Natural Gas",Auto Garage Door Remote(s),In-Suite,"Urban, Near Golf Course, Greenbelt, Hospital, Landscaped, Library, Playground Nearby, Public Transit, Regional Mall, Schools, Shopping Nearby, Trails",,"Garage Door Opener, Exclusive",,Flat,"Smoke Detector, Smoke Detector(s)",,,Municipal,,,,,,,$618,,,Electric,,,Main Level,,,,,,,,,,,,,,,,"BBQs Permitted, Elevator(s), Fitness Center, Guest Suites, Party Room, Parking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/6481-royal-magnolia-avenue/20202021/mls40452885/,"$764,900",,,3,2+1,,,,2023,,,2172 Square Feet,,114.8 Feet,30.00 Feet,R2-1(17),Sewer (Municipal),,,Main Level,2nd Level3.68 X 3.68,2nd Level4.90 X 4.11,,Main Level3.40 X 4.06,Main Level4.11 X 3.40,,Main Level4.88 X 4.09,,,,,,,,2nd Level,,,,,,< 0.5,Two Story,"Development Potential, Separate Entrance, Walk-Up Access, Full, Unfinished, Sump Pump","Brick, Hardboard, Vinyl Siding","Central Air, Energy Efficient",Private Drive Single Wide,,"Forced Air, Natural Gas","High Speed Internet, Air Exchanger, Auto Garage Door Remote(s), In-law Capability, In-Law Floorplan, Upgraded Insulation","Electric Dryer Hookup, In Hall, Inside, Laundry Room, Upper Level, Washer Hookup","Urban, Rectangular, Major Highway, Open Spaces, Park, Playground Nearby, Shopping Nearby, Trails",,"Attached Garage, Garage Door Opener, Paver Block, Inside Entry","Municipal Road, Public Road",Shingle,"Carbon Monoxide Detector, Smoke Detector, Carbon Monoxide Detector(s), Smoke Detector(s)","Cable Connected, Cell Service, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights",,Municipal-Metered,,,,,,,,,,"Electric, Living Room",,,2nd Level,,,,,,,,,,,,,Paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/6493-royal-magnolia-avenue/20202018/mls40452865/,"$749,900",,,3,2+1,,,,2023,,,2073 Square Feet,,114.8 Feet,30.00 Feet,R2-1(17),Sewer (Municipal),,,Main Level,2nd Level3.56 X 3.71,2nd Level4.88 X 3.99,,Main Level4.80 X 2.92,Main Level2.74 X 4.01,,Main Level4.88 X 3.96,,,,,,,,Main Level,,,,,,< 0.5,Two Story,"Development Potential, Separate Entrance, Walk-Up Access, Full, Unfinished, Sump Pump","Brick, Hardboard, Vinyl Siding","Central Air, Energy Efficient",Private Drive Single Wide,,"Forced Air, Natural Gas","High Speed Internet, Air Exchanger, Auto Garage Door Remote(s), In-law Capability, In-Law Floorplan, Upgraded Insulation","Electric Dryer Hookup, In Hall, Inside, Laundry Room, Upper Level, Washer Hookup","Urban, Major Highway, Open Spaces, Park, Playground Nearby, Shopping Nearby, Trails",,"Attached Garage, Garage Door Opener, Paver Block, Inside Entry","Municipal Road, Public Road",Shingle,"Carbon Monoxide Detector, Smoke Detector, Carbon Monoxide Detector(s), Smoke Detector(s)","Cable Connected, Cell Service, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights",,Municipal-Metered,,,,,,,,,,"Electric, Living Room",,,2nd Level,,,,,,,,,,,,,Paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/6489-royal-magnolia-avenue/20202080/mls40452871/,"$749,900",,,3,2+1,,,,2023,,,2073 Square Feet,,114.8 Feet,30.00 Feet,R2-1(17),Sewer (Municipal),,,Main Level,2nd Level3.56 X 3.71,2nd Level4.88 X 3.99,,Main Level4.80 X 2.92,Main Level2.74 X 4.01,,Main Level4.88 X 3.96,,,,,,,,Main Level,,,,,,< 0.5,Two Story,"Development Potential, Separate Entrance, Walk-Up Access, Full, Unfinished, Sump Pump","Brick, Hardboard, Vinyl Siding","Central Air, Energy Efficient",Private Drive Single Wide,,"Forced Air, Natural Gas","High Speed Internet, Air Exchanger, Auto Garage Door Remote(s), In-law Capability, In-Law Floorplan, Upgraded Insulation","Electric Dryer Hookup, In Hall, Inside, Laundry Room, Upper Level, Washer Hookup","Urban, Major Highway, Open Spaces, Park, Playground Nearby, Shopping Nearby, Trails",,"Attached Garage, Garage Door Opener, Paver Block, Inside Entry","Municipal Road, Public Road",Shingle,"Carbon Monoxide Detector, Smoke Detector, Carbon Monoxide Detector(s), Smoke Detector(s)","Cable Connected, Cell Service, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights",,Municipal-Metered,,,,,,,,,,"Electric, Living Room",,,2nd Level,,,,,,,,,,,,,Paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/210-460-callaway-rd/20185048/mlsx6691810/,"$749,000",Condominium/Strata,Single Family,2,2,,,Schools,,School Bus,,,,,,,,,2,Flat/Apartment LevelMeasurements not available,Flat/Apartment LevelMeasurements not available,,,Flat/Apartment LevelMeasurements not available,Flat/Apartment LevelMeasurements not available,,Flat/Apartment LevelMeasurements not available,,,,,,,,Flat/Apartment LevelMeasurements not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flat/Apartment LevelMeasurements not available,,$673 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flat/Apartment LevelMeasurements not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1803-bloom-crescent/20193761/mls40458570/,"$674,900",,,3,1+1,,,,,,,1258 Square Feet,,103 Feet,30.00 Feet,R1-13,Sewer (Municipal),,,2nd Level,2nd Level2.74 X 3.20,2nd Level3.81 X 3.66,,,,,Main Level3.73 X 5.54,,,,,,Main Level1.70 X 2.16,,,,,,,,< 0.5,Two Story,"Development Potential, Full, Unfinished, Sump Pump","Brick, Vinyl Siding",None,Private Drive Single Wide,,"Forced Air, Natural Gas",,In Basement,"Urban, Near Golf Course, Library, Park, Place of Worship, Rec./Community Centre, Schools, Shopping Nearby",Shed(s),"Attached Garage, Asphalt",Municipal Road,Shingle,,"Cable Available, Cell Service, Electricity Connected, Garbage/Sanitary Collection, High Speed Internet Avail, Natural Gas Connected, Recycling Pickup, Street Lights, Phone Available",,Municipal-Metered,,,,,,,,,,,,,,,Full,,,,,,,,,,,Paved,,Main Level3.66 X 3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/624-princess-avenue/20205172/mls40460106/,"$649,900",,,5,,,,,,,,1500 Square Feet,,220.16 Feet,25.51 Feet,R3-2,Sewer (Municipal),,,,,,,,,,,,,,,,,,,,,,,,< 0.5,,"Full, Unfinished",Brick,Central Air,None,,"Forced Air, Natural Gas",,In-Suite,"Urban, Rectangular, City Lot, Public Parking, Public Transit, Schools, Shopping Nearby",,,Municipal Road,Asphalt,"Smoke Detector, Smoke Detector(s)",,,Municipal-Metered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/626-princess-avenue/20205326/mls40460133/,"$629,900",,,3,,,,,,,,1500 Square Feet,,220 Feet,30.00 Feet,R3-2,Sewer (Municipal),,,,,,,,,,,,,,,,,,,,,,,,< 0.5,,"Full, Unfinished",Brick,Central Air,None,,"Forced Air, Natural Gas",,Other,"Urban, Rectangular, City Lot, Public Parking, Public Transit, Schools, Shopping Nearby",,,Municipal Road,Metal,"Smoke Detector, Smoke Detector(s)",,,Municipal-Metered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/630-princess-avenue/20205183/mls40460163/,"$629,900",,,3,,,,,,,,1500 Square Feet,,220.6 Feet,30.13 Feet,R3-2,Sewer (Municipal),,,,,,,,,,,,,,,,,,,,,,,,< 0.5,,"Full, Unfinished",Brick,Central Air,Private Drive Single Wide,,"Forced Air, Natural Gas",,"Coin Operated, In Basement","Urban, Rectangular, City Lot, Public Parking, Public Transit, Schools, Shopping Nearby",,"Gravel, Mutual/Shared",Municipal Road,Metal,"Smoke Detector, Smoke Detector(s)",,,Municipal-Metered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/628-princess-avenue/20205261/mls40460150/,"$629,900",,,3,,,,,,,,1500 Square Feet,,220.42 Feet,30.16 Feet,R3-2,Sewer (Municipal),,,,,,,,,,,,,,,,,,,,,,,,< 0.5,,"Full, Unfinished",Brick,Central Air,Private Drive Single Wide,,"Forced Air, Natural Gas",,None,"Urban, City Lot, Public Parking, Public Transit, Schools, Shopping Nearby",,"Gravel, Mutual/Shared",Municipal Road,Metal,Smoke Detector(s),,,Municipal-Metered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/73-9-ailsa-pl/20187064/mlsx6692176/,"$499,900",Condominium/Strata,Single Family,3+1,4,,,,,,,,,,,,,Garage,2,Main LevelMeasurements not available,Basement Level5.66 m x 3.45 m18.57 ft x 11.32 ft,2nd Level3.99 m x 5.69 m13.09 ft x 18.67 ft,,,Main Level4.65 m x 2.92 m15.26 ft x 9.58 ft,,Main Level5.61 m x 4.57 m18.41 ft x 14.99 ft,,,,,,,Basement Level3.12 m x 1.24 m10.24 ft x 4.07 ft,Basement Level2.44 m x 2.06 m8.01 ft x 6.76 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$422 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/64-51-sholto-drive/20195887/mls40460001/,"$475,000",,,3,1+1,,,,1977,,,1251 Square Feet,,,,R5-4,Sewer (Municipal),,,Main Level,2nd Level2.54 X 4.44,2nd Level4.60 X 4.27,"Other level
                
            
        
        
            
                :Lower6.20 X 4.93",,Main Level2.67 X 2.67,,,,,,,,,,"Other level
                
            
        
        
            
                :Lower5.05 X 3.43",,,,,,< 0.5,Two Story,"Full, Partially Finished","Aluminum Siding, Brick",Central Air,"Outside/Surface/Open, Visitor Parking","Controlled Entry, Privacy","Forced Air, Natural Gas",Built-In Appliances,"In Basement, Lower Level","Urban, Rectangular, Greenbelt, High Traffic Area, Highway Access, Industrial Mall, Industrial Park, Major Highway, Open Spaces, Park, Place of Worship, Playground Nearby, Public Transit, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby, Terraced",,"Exclusive, Asphalt, Assigned","Municipal Road, Private Road, Public Road",Shingle,"Smoke Detector, Smoke Detector(s)","Cable Available, Cell Service, Electricity Available, Garbage/Sanitary Collection, Natural Gas Available, Recycling Pickup, Street Lights, Phone Available",City,Municipal-Metered,Chlorination,,,,,,,,,,,,Main Level7.80 X 3.23Note:Living/Dining Room,,Full,,,,,,,,,,,Paved,,,"BBQs Permitted, Parking",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/141-1090-kipps-lane/20205185/mls40459804/,"$325,000",,,2,1+0,,,,,,,663.28 Square Feet,,,,R6-3,Sewer (Municipal),,,2nd Level,2nd Level4.01 X 3.56,,,Main Level2.72 X 2.51,Main Level2.64 X 3.43,,Main Level4.80 X 3.56,,,,,,,,,,,,,,Not Applicable,Two Story,"Partial, Unfinished","Brick, Vinyl Siding",None,"Outside/Surface/Open, Visitor Parking",,Baseboard,Other,In-Suite,"Urban, Public Transit, Shopping Nearby",,,,Asphalt Shing,,,,Municipal-Metered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BBQs Permitted, Playground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/308-1176-hamilton-road/20196412/mls40460189/,"$235,000",,,2,1+0,,,,,,,610 Square Feet,,,,H-5*R7*D100*H20/R9-1*H20,Sewer (Municipal),,,Main Level,Main Level3.35 X 3.35,,,,,,Main Level5.49 X 3.28,,,,,,,,,,,,,,,1 Storey/Apt,None,"Brick Veneer, Cement Siding",None,"Outside/Surface/Open, Visitor Parking",,Water Radiators,High Speed Internet,"Coin Operated, In Building","Urban, Dog Park, Park, Place of Worship, Playground Nearby, Schools, Shopping Nearby",,Assigned,Municipal Road,Slate,None,"Cable Connected, Cell Service, Electricity Connected, Natural Gas Connected, Recycling Pickup, Street Lights, Phone Connected",,Municipal-Metered,,,,,,,$413,,,,,,Main Level5.69 X 2.16Note:Kitchen/Dining Room,,,,,,,,,,,,,,,,Parking,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1225-wonderland-rd-n/20188994/mlsx6693516/,"$165,000",,Business,,,,,,,,Elevator,569.00 Square Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/119-langarth-street-e/20184349/mls40459093/,"$2,199,900",,,5,4+2,,,,2018,,,3461 Square Feet,,189 Feet,60.00 Feet,R2-2,Sanitary,,,2nd Level,2nd Level3.99 X 3.38,2nd Level5.05 X 4.78,,Main Level3.51 X 4.67,Main Level5.79 X 4.90,"Other level
                
            
        
        
            
                :Lower7.21 X 4.83",,,,,,,Main Level,,2nd Level3.51 X 3.00,,,Main Level2.95 X 2.64,,,< 0.5,Two Story,"Full, Partially Finished, Sump Pump","Brick, Shingle Siding, Stone, Vinyl Siding",Central Air,Private Drive Double Wide,"Built-in Barbecue, Landscape Lighting, Landscaped",Natural Gas,"Central Vacuum, Auto Garage Door Remote(s), Built-In Appliances","Lower Level, Upper Level","Urban, Rectangular, Hospital, Library, Park, Schools, Skiing",,"Attached Garage, Garage Door Opener, Exclusive",Municipal Road,Asphalt Shing,"Alarm System, Security System",Other,,Municipal,,,,,,,,,,Gas,Main Level3.53 X 3.51,,2nd Level,,Full,Window Coverings,,,,,,,,,,,,,,"In Ground, Salt Water, In Ground, Salt Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/2178-robbies-way/20186963/mls40458616/,"$2,199,000",,,4,3+1,,,,2023,,,4093 Square Feet,,133.43 Feet,62.53 Feet,R1-9,Sewer (Municipal),,7,Main Level1.68 X 1.83,2nd Level3.20 X 4.29,2nd Level5.79 X 5.03,,Main Level3.43 X 4.57,Main Level5.99 X 4.88,Main Level3.12 X 4.88,,,,,,,Main Level2.44 X 2.44,,Main Level3.25 X 4.88,,Main Level2.44 X 3.81,,Main Level5.46 X 5.11,,< 0.5,Two Story,"Full, Unfinished, Sump Pump","Board & Batten Siding, Brick, Stone, Vinyl Siding",Central Air,Private Drive Double Wide,,"Forced Air, Natural Gas","High Speed Internet, Air Exchanger, Auto Garage Door Remote(s), Central Vacuum Roughed-in, Ventilation System","Laundry Room, Main Level","Urban, Rectangular, Near Golf Course, Greenbelt, Park, Playground Nearby, Quiet Area, Trails",,"Attached Garage, Garage Door Opener",,Asphalt Shing,"Smoke Detector, Alarm System, Smoke Detector(s)","Cable Connected, Electricity Connected, Natural Gas Connected",,Municipal-Metered,,,,,,,,,,Gas,,Main Level3.12 X 3.81,2nd Level3.63 X 4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/526-kininvie-drive/20184362/mls40459202/,"$1,480,000",,,7,5+0,,,,1998,,,2693 Square Feet,,140 Feet,63.04 Feet,R1-10,Sewer (Municipal),,,"Other level
                
            
        
        
            
                :Lower",Main Level3.66 X 3.05,Main Level3.66 X 4.83,,,Main Level3.91 X 3.48,,,,,,,,,,,,,,Main Level8.94 X 4.65,,< 0.5,Bungalow Raised,"Separate Entrance, Walk-Up Access, Full, Finished",Brick,Central Air,Private Drive Double Wide,Landscaped,"Forced Air, Natural Gas","High Speed Internet, Central Vacuum","Lower Level, Main Level","Urban, Rectangular, Landscaped, Public Transit, Shopping Nearby, Trails",Shed(s),"Detached Garage, Asphalt",Municipal Road,Asphalt Shing,"Carbon Monoxide Detector(s), Smoke Detector(s)","At Lot Line-Gas, At Lot Line-Hydro, At Lot Line-Municipal Water, Electricity Connected, Natural Gas Connected, Street Lights","Pool, Trees/Woods",Municipal,None,,,,,,,,,"Living Room, Gas",,,"Other level
                
            
        
        
            
                :Lower3.10 X 6.53Note:Kitchen/Dining Room",,,Window Coverings,,,,,,,,,,,,,,"Indoor, Salt Water, Indoor, Salt Water",,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
