,Link,Price,Bedrooms:,Bathrooms:,Floor Space (approx):,Lot Frontage:,Zoning:,Sewer:,Bathroom,Bedroom,Primary Bedroom,Kitchen,Acres Range:,Architectural Style:,Basement:,Construction Materials:,Cooling:,Driveway Parking:,Heating:,Lot Features:,Roof:,Water Source:,Number_Parking_Spaces
16,https://www.royallepage.ca/en/property/ontario/london/108-alexandra-street/20375624/mls40469555/,"$474,900",2,1+0,982 Square Feet,35.00 Feet,R2-2,Sewer (Municipal),2nd Level,2nd Level3.43 X 2.92,2nd Level3.38 X 3.99,Main Level2.82 X 3.40,< 0.5,1.5 Storey,"Development Potential, Full, Unfinished",Vinyl Siding,Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Landscaped, Place of Worship, Playground Nearby, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,5.0
17,https://www.royallepage.ca/en/property/ontario/london/391-thiel-street/20373698/mls40473007/,"$459,900",5,3+0,1604.56 Square Feet,50.25 Feet,R2-3,Sewer (Municipal),Main Level2.13 X 1.80,Main Level3.48 X 3.25,Main Level3.99 X 5.38,Main Level3.02 X 4.50,< 0.5,Bungalow,"Separate Entrance, Full, Finished","Aluminum Siding, Brick","Central Air, Window Unit(s)",Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Airport, Ample Parking, Hospital, Library, Park, Place of Worship, Public Transit, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal,6.0
18,https://www.royallepage.ca/en/property/ontario/london/118-jacqueline-street/20373499/mls40469841/,"$440,000",3,1+0,846.91 Square Feet,58.00 Feet,R2-2,Sewer (Municipal),Main Level3.43 X 1.96,Main Level2.82 X 2.92,Main Level3.81 X 3.10,Main Level4.42 X 3.02,< 0.5,Bungalow,"Full, Partially Finished",Brick,Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Irregular Lot, Hospital, Park, Playground Nearby, Public Transit, Schools, Shopping Nearby, Trails",Shingle,Municipal,2.0
19,https://www.royallepage.ca/en/property/ontario/london/1260-limberlost-road/20373661/mls40472534/,"$439,900",3,1+1,1297.39 Square Feet,0.00 Feet,r5-4,Sewer (Municipal),3rd Level,3rd Level3.33 X 2.41,3rd Level4.29 X 3.51,2nd Level3.56 X 3.05,,Two Story,"Partial, Unfinished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Landscaped, Playground Nearby, Schools, Shopping Nearby",Shingle,Municipal-Metered,2.0
20,https://www.royallepage.ca/en/property/ontario/london/19-160-conway-drive/20375459/mls40472922/,"$374,900",3,1+1,1290 Square Feet,,R5-4,Sewer (Municipal),2nd Level,2nd Level3.05 X 3.35,2nd Level3.05 X 4.75,Main Level2.82 X 3.12,Not Applicable,Two Story,"Partial, Partially Finished","Brick, Vinyl Siding",,"Carport Parking, Private Drive Single Wide","Baseboard, Electric","Urban, Business Centre, Highway Access, Hospital, Industrial Mall, Industrial Park, Major Highway, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,2.0
21,https://www.royallepage.ca/en/property/ontario/london/102-mcleod-crescent/20369301/mls40472857/,"$949,900",4,2+1,1800 Square Feet,89.00 Feet,R1-7,Sewer (Municipal),2nd Level,2nd Level3.89 X 3.33,2nd Level3.91 X 3.76,Main Level3.05 X 3.35,< 0.5,Two Story,"Full, Finished","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Arts Centre, Cul-De-Sac, Dog Park, Near Golf Course, Greenbelt, Hospital, Library, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,5.0
22,https://www.royallepage.ca/en/property/ontario/london/588-rosedale-st/20362039/mlsx6759780/,"$699,900",2,3,,,,,,Main Level3.45 m x 2.59 m11.32 ft x 8.50 ft,,Main Level3.71 m x 3.53 m12.17 ft x 11.58 ft,,,,,,,,,,,2.0
23,https://www.royallepage.ca/en/property/ontario/london/220-deveron-crescent/20369315/mls40455629/,"$699,000",4,2+1,1059 Square Feet,45.00 Feet,R1-3,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower1.70 X 2.34",2nd Level2.82 X 2.69,2nd Level3.02 X 3.91,Main Level2.74 X 2.64,< 0.5,Split Level,"Full, Partially Finished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Shopping Nearby",Shingle,Municipal,
24,https://www.royallepage.ca/en/property/ontario/london/1182-kimball-cres/20361761/mlsx6760374/,"$649,990",3,2,,,,,,,2nd LevelMeasurements not available,Ground LevelMeasurements not available,,,,,,,,,,,3.0
25,https://www.royallepage.ca/en/property/ontario/london/300-wellington-rd/20361752/mlsx6760258/,"$649,900",2+2,3,,,,,,Main Level3.38 m x 3.10 m11.09 ft x 10.17 ft,,Main Level3.05 m x 2.44 m10.01 ft x 8.01 ft,,,,,,,,,,,4.0
26,https://www.royallepage.ca/en/property/ontario/london/1414-norman-avenue/20367676/mls40469021/,"$579,000",4,2+0,1290 Square Feet,94.12 Feet,R1-9,Sewer (Municipal),Main Level,"Other level
                
            
        
        
            
                :Lower3.58 X 3.25",,Main Level6.32 X 3.10,< 0.5,Bungalow,"Full, Partially Finished","Aluminum Siding, Brick",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Library, Public Transit, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,4.0
27,https://www.royallepage.ca/en/property/ontario/london/25-626-wharncliffe-road-s/20368010/mls40472695/,"$464,900",3,1+1,1210 Square Feet,1.00 Feet,R5-3,Sewer (Municipal),2nd Level,2nd Level2.82 X 2.74,2nd Level4.44 X 2.97,,Not Applicable,Two Story,"Full, Partially Finished","Brick, Vinyl Siding",Central Air,"Outside/Surface/Open, Visitor Parking","Forced Air, Natural Gas","Urban, Highway Access, Hospital, Landscaped, Park, Playground Nearby, Public Transit, Quiet Area, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,1.0
28,https://www.royallepage.ca/en/property/ontario/london/18-70-fiddlers-green-rd/20360330/mlsx6760206/,"$434,900",4,2,,,,,,,,"Main Level2.51 m x 3.23 m8.23 ft x 10.60 ftNote:Laminate, Combined W/Dining",,,,,,,,,,,1.0
29,https://www.royallepage.ca/en/property/ontario/london/51-166-southdale-road-w/20369340/mls40472556/,"$399,900",3,1+1,1140 Square Feet,,R5-3,Sewer (Municipal),2nd Level,2nd Level2.95 X 2.57,2nd Level4.47 X 3.20,Main Level2.18 X 2.16,< 0.5,Two Story,"Full, Finished",Brick,Window Unit(s),"Outside/Surface/Open, Visitor Parking","Baseboard, Electric","Urban, Public Transit, Quiet Area, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal,1.0
30,https://www.royallepage.ca/en/property/ontario/london/69-adelaide-street-n/20373231/mls40473126/,"$399,000",4,1+0,750 Square Feet,29.96 Feet,R2-2,Sewer (Municipal),Main Level,Main Level2.51 X 2.64,Main Level3.10 X 4.14,Main Level2.82 X 4.04,< 0.5,Bungalow,"Partial, Unfinished",Stucco,Wall Unit(s),Outside/Surface/Open,"Forced Air, Natural Gas","Urban, City Lot, Hospital, Industrial Mall",Asphalt Shing,Municipal,2.0
31,https://www.royallepage.ca/en/property/ontario/london/303-wolfe-street/20371918/mls40473101/,"$1,499,900",7,4+1,3600 Square Feet,40.00 Feet,R3-1(6),Sewer (Municipal),3rd Level,3rd Level2.74 X 2.74,,,< 0.5,2.5 Storey,"Partial, Unfinished",Brick,Central Air,"Private Drive Single Wide, Visitor Parking","Forced Air, Natural Gas","Urban, City Lot, Park, Place of Worship, Playground Nearby, Public Transit, Schools, Shopping Nearby",Metal,Municipal,8.0
32,https://www.royallepage.ca/en/property/ontario/london/303-wolfe-street/20372067/mls40473080/,"$1,499,900",8,,3600 Square Feet,40.00 Feet,R3-1(6),Sewer (Municipal),,,,,< 0.5,,"Partial, Unfinished","Brick, Vinyl Siding",Central Air,"Private Drive Single Wide, Visitor Parking","Forced Air, Natural Gas","City Lot, Park, Playground Nearby, Public Transit, Schools, Shopping Nearby",Metal,Municipal,8.0
33,https://www.royallepage.ca/en/property/ontario/london/3948-malpass-road/20360204/mls40472038/,"$999,900",4,3+1,2238.8 Square Feet,69.88 Feet,R1-8,Sewer (Municipal),Main Level0.89 X 1.98,2nd Level4.17 X 4.09,2nd Level6.53 X 3.45,Main Level4.14 X 3.91,< 0.5,Two Story,"Walk-Up Access, Full, Finished, Sump Pump","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Highway Access, Landscaped, Library, Park, Place of Worship, Playground Nearby, School Bus Route, Schools, Shopping Nearby, Trails",Asphalt Shing,Municipal-Metered,4.0
34,https://www.royallepage.ca/en/property/ontario/london/1628-chelton-place/20362946/mls40472232/,"$769,900",4,2+1,2346 Square Feet,36.75 Feet,R1-4 (10),Sewer (Municipal),2nd Level2.49 X 2.46,2nd Level4.09 X 3.28,2nd Level5.69 X 3.71,Main Level4.90 X 4.06,< 0.5,Two Story,"Full, Partially Finished","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,"Fireplace-Gas, Forced Air","Urban, Cul-De-Sac, Highway Access, Hospital, Library, Major Highway, Open Spaces, Park, Playground Nearby, Public Transit, Schools, Trails",Asphalt Shing,Municipal,6.0
35,https://www.royallepage.ca/en/property/ontario/london/171-clarke-road/20360012/mls40472072/,"$620,000",5,2+0,700 Square Feet,50.00 Feet,R2-2,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower",Main Level3.45 X 2.44,,"Other level
                
            
        
        
            
                :Lower1.85 X 3.33",< 0.5,Bungalow,"Full, Finished","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Airport, City Lot, Highway Access, Place of Worship, Playground Nearby, Public Transit, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,4.0
36,https://www.royallepage.ca/en/property/ontario/london/1440-helena-montague-avenue/20359616/mls40469770/,"$599,900",3,1+1,1048.38 Square Feet,100.26 Feet,R1-7,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower1.73 X 1.65",2nd Level3.02 X 3.94,2nd Level3.02 X 3.58,Main Level2.97 X 3.68,< 0.5,Sidesplit,"Development Potential, Full, Partially Finished","Brick, Vinyl Siding",Central Air,"Carport Parking, Private Drive Single Wide","Forced Air, Natural Gas","Urban, Rectangular, Corner Lot, Landscaped, Library, Open Spaces, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, Schools, Shopping Nearby, Trails","Asphalt, Asphalt Shing, Flat",Municipal,3.0
37,https://www.royallepage.ca/en/property/ontario/london/29-ranchwood-cres-w/20356081/mlsx6757974/,"$549,900",3,2,,,,,2nd Level1.20 m x 1.40 m3.94 ft x 4.59 ft,,2nd Level3.96 m x 2.74 m12.99 ft x 8.99 ft,Ground Level3.66 m x 3.05 m12.01 ft x 10.01 ft,,,,,,,,,,,2.0
38,https://www.royallepage.ca/en/property/ontario/london/9-1673-richmond-st/20358925/mlsx6758980/,"$499,900",,,,,,,,,,,,,,,,,,,,,
39,https://www.royallepage.ca/en/property/ontario/london/2305-323-colborne-street/20369416/mls40467456/,"$298,900",1,1+0,825 Square Feet,,"H-3, DA2, D350",Sewer (Municipal),Main Level,Main Level4.32 X 3.61,,Main Level2.59 X 2.39,Not Applicable,1 Storey/Apt,,Cement Siding,Central Air,,Electric Forced Air,"Urban, Other",Other,Municipal,1.0
40,https://www.royallepage.ca/en/property/ontario/london/1422-lawson-road/20353736/mls40464126/,"$1,198,800",4,3+1,2263 Square Feet,41.00 Feet,R1-3,Sewer (Municipal),Main Level,2nd Level4.27 X 3.81,2nd Level4.57 X 3.96,Main Level3.35 X 3.66,< 0.5,Two Story,"Full, Finished, Sump Pump","Brick, Stucco, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Park, Playground Nearby, Public Parking, Public Transit, Quiet Area, Ravine, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,4.0
41,https://www.royallepage.ca/en/property/ontario/london/1475-roland-crescent/20355953/mls40471652/,"$899,900",4,2+1,2206 Square Feet,65.00 Feet,R1-8,Sewer (Municipal),2nd Level,2nd Level3.30 X 2.74,2nd Level4.27 X 3.96,Main Level4.52 X 3.05,< 0.5,Two Story,"Full, Partially Finished","Aluminum Siding, Brick",Central Air,Private Drive Triple+ Wide,"Forced Air, Natural Gas","Urban, Hospital, Landscaped, Park, Playground Nearby, Public Transit, Quiet Area, Regional Mall, Schools, Shopping Nearby, Trails",Shingle,Municipal,7.0
42,https://www.royallepage.ca/en/property/ontario/london/3865-campbell-street-n/20355998/mls40471687/,"$889,900",3,2+1,1913 Square Feet,38.00 Feet,R1-3 (7),Sewer (Municipal),2nd Level,2nd Level3.35 X 3.58,2nd Level4.72 X 3.81,Main Level2.67 X 3.15,< 0.5,Two Story,"Separate Entrance, Full, Unfinished, Sump Pump","Stone, Stucco, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Highway Access, Playground Nearby, Schools, Shopping Nearby, Trails",Shingle,Municipal,4.0
43,https://www.royallepage.ca/en/property/ontario/london/711-woodcrest-boulevard/20352472/mls40469456/,"$574,000",5,2+1,2057.56 Square Feet,,R5-2,Sewer (Municipal),Main Level1.65 X 1.32,2nd Level3.53 X 4.37,2nd Level4.80 X 3.66,,Not Applicable,Two Story,"Separate Entrance, Walk-Up Access, Full, Finished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Business Centre, Cul-De-Sac, Landscaped, Library, Major Anchor, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, Schools, Shopping Nearby","Asphalt Shing, Flat, Membrane",Municipal,3.0
44,https://www.royallepage.ca/en/property/ontario/london/30-1535-trossacks-avenue/20355960/mls40471560/,"$542,000",3,2+1,1066.41 Square Feet,,R6-5,Sewer (Municipal),2nd Level2.97 X 1.55,2nd Level2.39 X 3.63,2nd Level4.39 X 4.24,Main Level2.26 X 2.62,Not Applicable,Two Story,"Full, Finished","Brick, Vinyl Siding",Central Air,Lane/Alley Parking,Natural Gas,"Urban, Park, Public Transit, Rec./Community Centre, Schools, Shopping Nearby, Trails",Shingle,Municipal,
45,https://www.royallepage.ca/en/property/ontario/london/73-elliott-street/20352590/mls40471362/,"$469,900",3,1+0,900 Square Feet,35.00 Feet,R1-5,Sewer (Municipal),Main Level,Main Level4.88 X 2.44,2nd Level6.71 X 3.05,Main Level3.66 X 3.05,< 0.5,1.5 Storey,"Partial, Unfinished",Vinyl Siding,Central Air,Private Drive Single Wide,Forced Air,"Urban, Ample Parking, Business Centre, Dog Park, City Lot, Highway Access, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Rec./Community Centre, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,4.0
46,https://www.royallepage.ca/en/property/ontario/london/15-denali-terrace/20346743/mls40470666/,"$4,250,000",6,3+2,4847 Square Feet,104.99 Feet,R1-9(1),Sewer (Municipal),2nd Level2.77 X 2.08,2nd Level4.62 X 3.48,2nd Level5.44 X 5.21,Main Level4.88 X 3.91,< 0.5,Two Story,"Walk-Out Access, Full, Finished",Stone,"Central Air, Energy Efficient",Private Drive Triple+ Wide,"Forced Air, Natural Gas","Urban, Rectangular, Paved, Ample Parking, Cul-De-Sac, Landscaped, Park, Playground Nearby, School Bus Route, Schools, Trails",Wood,Municipal,11.0
47,https://www.royallepage.ca/en/property/ontario/london/1748-brayford-avenue/20346723/mls40470999/,"$1,385,000",5,5+1,2951 Square Feet,41.90 Feet,R1-4,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower3.38 X 1.55","Other level
                
            
        
        
            
                :Lower6.20 X 3.43",2nd Level5.16 X 4.29,Main Level3.66 X 3.35,< 0.5,Two Story,"Full, Finished, Sump Pump","Brick, Hardboard, Stone, Vinyl Siding",Central Air,Private Drive Double Wide,"Fireplace-Gas, Forced Air, Gas Hot Water","Urban, Rectangular, Airport, Ample Parking, Business Centre, Cul-De-Sac, Greenbelt, Highway Access, Hospital, Landscaped, Library, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Ravine, Rec./Community Centre, School Bus Route, Schools, Shopping Nearby, Skiing, Trails",Asphalt Shing,Municipal-Metered,6.0
48,https://www.royallepage.ca/en/property/ontario/london/1796-dewar-pl/20339812/mlsx6751220/,"$1,175,000",3+1,4,,,,,,Basement Level4.04 m x 3.99 m13.25 ft x 13.09 ft,2nd Level3.68 m x 3.71 m12.07 ft x 12.17 ft,Main Level4.19 m x 4.06 m13.75 ft x 13.32 ft,,,,,,,,,,,8.0
49,https://www.royallepage.ca/en/property/ontario/london/122-julie-cres/20335508/mlsx6749264/,"$845,888",2,2,,,,,,Main LevelMeasurements not available,,,,,,,,,,,,,3.0
50,https://www.royallepage.ca/en/property/ontario/london/322-grand-view-avenue/20341364/mls40469648/,"$839,900",4,1+1,1205.32 Square Feet,58.23 Feet,R1-7,Sewer (Municipal),Main Level1.75 X 1.09,2nd Level2.77 X 2.62,2nd Level3.17 X 3.68,Main Level2.92 X 5.13,< 0.5,Two Story,"Full, Finished","Board & Batten Siding, Brick, Hardboard","Central Air, Energy Efficient, Humidity Control",Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Irregular Lot, Near Golf Course, Landscaped, Library, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, School Bus Route, Schools, Shopping Nearby, Trails",Asphalt Shing,Municipal,4.0
51,https://www.royallepage.ca/en/property/ontario/london/706-480-callaway-road/20341861/mls40470716/,"$799,900",2,2+0,1660 Square Feet,,R9-7(27),Sewer (Municipal),Main Level,Main Level3.81 X 3.51,Main Level5.11 X 3.73,Main Level3.43 X 3.35,Not Applicable,1 Storey/Apt,,"Brick, Concrete",Central Air,Visitor Parking,Forced Air,"Urban, Near Golf Course, Greenbelt, Highway Access, Hospital, Library, Park, Place of Worship, Playground Nearby, Schools, Shopping Nearby, Trails",Flat,Municipal,2.0
52,https://www.royallepage.ca/en/property/ontario/london/1826-mickleborough-dr-w/20340270/mlsx6751512/,"$735,000",3+2,4,,,,,Main LevelMeasurements not available,Basement Level3.25 m x 2.92 m10.66 ft x 9.58 ft,,Main Level3.76 m x 3.18 m12.34 ft x 10.43 ft,,,,,,,,,,,
53,https://www.royallepage.ca/en/property/ontario/london/35-martinet-avenue/20341910/mls40470517/,"$699,900",3,2+1,1697 Square Feet,50.00 Feet,R1-5,Sewer (Municipal),2nd Level,2nd Level3.40 X 3.17,2nd Level3.53 X 4.80,Main Level3.53 X 2.87,< 0.5,Two Story,"Full, Finished, Sump Pump","Aluminum Siding, Brick",Central Air,Private Drive Double Wide,Forced Air,"Urban, Airport, Dog Park, Highway Access, Library, Major Highway, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,4.0
54,https://www.royallepage.ca/en/property/ontario/london/103-adelaide-st-s/20338296/mlsx6750122/,"$549,000",3+2,2,,,,,,,,,,,,,,,,,,,4.0
55,https://www.royallepage.ca/en/property/ontario/london/154-bonaventure-drive/20341507/mls40470367/,"$525,000",3,2+0,987 Square Feet,32.00 Feet,R2-2,Sewer (Municipal),2nd Level,2nd Level3.35 X 2.69,2nd Level4.06 X 3.00,Main Level5.49 X 3.35,< 0.5,Backsplit,"Development Potential, Full, Partially Finished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Airport, Business Centre, Near Golf Course, Highway Access, Industrial Mall, Industrial Park, Landscaped, Library, Major Highway, Park, Place of Worship, Playground Nearby, Public Transit, School Bus Route, Schools, Shopping Nearby",Metal,Municipal-Metered,2.0
56,https://www.royallepage.ca/en/property/ontario/london/2-1286-jalna-blvd/20335506/mlsx6749240/,"$180,000",,,1320.00 Square Feet,,,,,,,,,,,,,,,,,,
